Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
7025.987 7025.9874 14232.8758 34000 1890000.0 0.014 B+ "16.84805369  -   18.61270528" "2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1" "2s2.2p5.(2P*<3/2>).3p  | 2[3/2]  | 1" "" T2733 L3451
7034.352 7034.3524 14215.9504 85000 26600000.0 0.118 B+ "16.61907009  -   18.38162323" "2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2" "2s2.2p5.(2P*<3/2>).3p  | 2[1/2]  | 1" "" T4701 L3451
7053.2365 7053.2366 14177.8883 2200 2380000.0 0.0177 C+ "18.38162323  -   20.13945733" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).3d  | 2[3/2]* | 1" "" T6976 L9097
7061.0543 7061.0538 14162.191 10000 7460000.0 0.0929 B+ "18.38162323  -   20.13751125" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).3d  | 2[3/2]* | 2" "" T8378 L3451
7066.71 7066.7065 14150.857 80 34000.0 0.000424 C "18.38162323  -   20.13610672" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).3d  | 2[5/2]* | 2" "" T8378 L9097
7114.2683 7114.2682 14056.2594 110 628000.0 0.0143 C+ "18.96595369  -   20.70870776" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).4d  | 2[3/2]* | 1" "" T6976 L9097
7140.5078 7140.5061 14004.6062 55 220000.0 0.00504 C+ "18.96595369  -   20.70230399" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).4d  | 2[1/2]* | 1" "" T6976 L9097
7175.9154 7175.9155 13935.5044 77000 2870000.0 0.0369 B+ "16.84805369  -   18.57583601" "2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1" "2s2.2p5.(2P*<3/2>).3p  | 2[5/2]  | 2" "" T2733 L3451
7247.1631 7247.1631 13798.5028 77000 10100000.0 0.0795 B+ "16.67082693  -   18.38162323" "2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1" "2s2.2p5.(2P*<3/2>).3p  | 2[1/2]  | 1" "" T4701 L3451
7306.8549 7306.855 13685.7789 89 255000.0 0.00612 B+ "18.96595369  -   20.66277398" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<1/2>).5s  | 2[1/2]* | 1" "" T2318 L9097
7440.9469 7440.9472 13439.1498 60000 2470000.0 0.0615 B+ "16.71538108  -   18.38162323" "2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 0" "2s2.2p5.(2P*<3/2>).3p  | 2[1/2]  | 1" "" T4701 L3451
7474.4962 7474.4964 13378.8282 3100 2960000.0 0.0248 C+ "18.38162323  -   20.04038646" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).3d  | 2[3/2]* | 1" "" T6976 L3451
7490.9335 7490.9335 13349.4711 32000 23100000.0 0.324 B+ "18.38162323  -   20.03674670" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).3d  | 2[3/2]* | 2" "" T6976 L3451
7537.8488 7537.849 13266.3844 28000 30600000.0 0.26 B+ "18.38162323  -   20.02644523" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).3d  | 2[1/2]* | 1" "" T6976 L3451
7546.1211 7546.1215 13251.8415 13000 38700000.0 0.11 B "18.38162323  -   20.02464208" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).3d  | 2[1/2]* | 0" "" T6976 L3451
7623.43 7623.428 13117.46 50 "" "" "" "19.68819383  -   21.3145513" "2s2.2p5.(2P*<3/2>).4s | 2[3/2]* | 1" "2s2.2p5.(2P*<1/2>).7p  | 2[1/2]  | 0" "" "" L7441
