Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
6624.98 6624.96288 15094.39 0 "" "" "" "21.143075448  -   23.01454553" "3s2.3p4.(1D).4p    | 2F*   | 7/2" "3s2.3p4.(3P).4d    | 4F    | 7/2" "" "" L14821
6638.03 6638.0249 15064.7 0h "" "" "" "22.30870487   -   24.17649235" "3s2.3p4.(1S).3d    | 2D    | 3/2" "3s2.3p4.(3P<2>).4f | 2[2]* | 3/2" "" "" L14821
6640.05336 6640.05342 15060.1199 151 13700000.0 0.0604 A "17.74309101   -   19.61030789" "3s2.3p4.(3P).3d    | 4F    | 5/2" "3s2.3p4.(3P).4p    | 4D*   | 3/2" "" T926 L11520
6641.5739 6641.5738 15056.6721 93 16900000.0 0.0559 A "17.77579262   -   19.64258207" "3s2.3p4.(3P).3d    | 4F    | 3/2" "3s2.3p4.(3P).4p    | 4D*   | 1/2" "" T926 L11520
6645.53193 6645.53197 15047.7043 269 14700000.0 0.0779 B "17.62885633   -   19.49453389" "3s2.3p4.(3P).3d    | 4F    | 9/2" "3s2.3p4.(3P).4p    | 4D*   | 7/2" "" T926 L11520
6655.42 6655.4388 15025.347 1 "" "" "" "23.58132422   -   25.44422467" "3s2.3p4.(3P).5p    | 2P*   | 1/2" "3s2.3p4.(3P).5d    | 2P    | 3/2" "" "" L14821
6659.337 6659.3385 15016.51 2bl "" "" "" "19.762261075  -   21.62407061" "3s2.3p4.(3P).4p    | 2D*   | 3/2" "3s2.3p4.(1D).3d    | 2P    | 3/2" "" "" L14821
6668.19942 6668.19951 14996.5521 117 8800000.0 0.059 B "17.94175110   -   19.801086565" "3s2.3p4.(3P).3d    | 2P    | 1/2" "3s2.3p4.(3P).4p    | 2P*   | 1/2" "" T926 L11520
6686.13795 6686.13808 14956.3171 204 10700000.0 0.0538 B+ "17.69466481   -   19.549011775" "3s2.3p4.(3P).3d    | 4F    | 7/2" "3s2.3p4.(3P).4p    | 4D*   | 5/2" "" T926 L11520
6697.56 6697.558 14930.81 0.5 "" "" "" "23.514204395  -   25.3653896" "3s2.3p4.(3P).5p    | 4D*   | 5/2" "3s2.3p4.(3P).5d    | 2D    | 5/2" "" "" L14821
6698.145 6698.1419 14929.507 4 "" "" "" "22.30870487   -   24.15972864" "3s2.3p4.(1S).3d    | 2D    | 3/2" "3s2.3p4.(3P<2>).4f | 2[3]* | 5/2" "" "" L14821
6758.4172 6758.4174 14796.3639 32 2000000.0 0.014 B "17.77579262   -   19.61030789" "3s2.3p4.(3P).3d    | 4F    | 3/2" "3s2.3p4.(3P).4p    | 4D*   | 3/2" "" T926 L11520
6801.164 6801.1675 14703.364 3 "" "" "" "19.801086565  -   21.62407061" "3s2.3p4.(3P).4p    | 2P*   | 1/2" "3s2.3p4.(1D).3d    | 2P    | 3/2" "" "" L14821
6810.4102 6810.41027 14683.4034 15 700000.0 0.0097 C "17.94175110   -   19.762261075" "3s2.3p4.(3P).3d    | 2P    | 1/2" "3s2.3p4.(3P).4p    | 2D*   | 3/2" "" T926 L11520
6820.253 6820.2658 14662.213 8 "" "" "" "19.549011775  -   21.36689104" "3s2.3p4.(3P).4p    | 4D*   | 5/2" "3s2.3p4.(1D).3d    | 2D    | 5/2" "" "" L14821
6834.8 6834.7825 14631.02 0 "" "" "" "21.62407061   -   23.438088809" "3s2.3p4.(1D).3d    | 2P    | 3/2" "3s2.3p4.(3P).5p    | 4P*   | 3/2" "" "" L14821
6841.471 6841.4756 14616.739 4 "" "" "" "21.67504277   -   23.48728630" "3s2.3p4.(1D).3d    | 2P    | 1/2" "3s2.3p4.(3P).5p    | 4P*   | 1/2" "" "" L14821
6848.429 6848.4392 14601.889 1 "" "" "" "23.63042494   -   25.44082574" "3s2.3p4.(3P).4d    | 2P    | 3/2" "3s2.3p4.(3P<2>).5f | 2[1]* | 3/2" "" "" L14821
6857.95 6857.9665 14581.61 0.5h "" "" "" "19.867157038  -   21.67504277" "3s2.3p4.(3P).4p    | 2P*   | 3/2" "3s2.3p4.(1D).3d    | 2P    | 1/2" "" "" L14821
6863.16207 6863.16197 14570.5433 112 2400000.0 0.017 C "18.06063988   -   19.867157038" "3s2.3p4.(3P).3d    | 2P    | 3/2" "3s2.3p4.(3P).4p    | 2P*   | 3/2" "" T1600n L11520
6865.4285 6865.42846 14565.7332 35 2500000.0 0.018 B "17.74309101   -   19.549011775" "3s2.3p4.(3P).3d    | 4F    | 5/2" "3s2.3p4.(3P).4p    | 4D*   | 5/2" "" T926 L11520
6871.15 6871.1307 14553.61 0.5h? "" "" "" "24.31038415   -   26.11480622" "3s2.3p4.(3P<1>).4f | 2[2]* | 3/2" "3s2.3p4.(3P<2>).6g | 2[3]  | 5/2" "" "" L14821
6877.45 6877.4644 14540.28 0.5h "" "" "" "24.31205385   -   26.1148142" "3s2.3p4.(3P<1>).4f | 2[2]* | 5/2" "3s2.3p4.(3P<2>).6g | 2[3]  | 7/2" "" "" L14821
6888.5118 6888.51207 14516.9236 26 900000.0 0.0064 B "17.69466481   -   19.49453389" "3s2.3p4.(3P).3d    | 4F    | 7/2" "3s2.3p4.(3P).4p    | 4D*   | 7/2" "" T926 L11520
6894.52 6894.5428 14504.27 0h "" "" "" "24.313723219  -   26.11201792" "3s2.3p4.(3P<1>).4f | 2[4]* | 9/2" "3s2.3p4.(3P<2>).6g | 2[5]  | 11/2" "" "" L14821
6902.784 6902.7868 14486.909 2 "" "" "" "23.63042494   -   25.42657193" "3s2.3p4.(3P).4d    | 2P    | 3/2" "3s2.3p4.(3P<2>).5f | 2[2]* | 5/2" "" "" L14821
6906.36 6906.381 14479.4 0.5 "" "" "" "23.570177223  -   25.3653896" "3s2.3p4.(3P).5p    | 4D*   | 3/2" "3s2.3p4.(3P).5d    | 2D    | 5/2" "" "" L14821
6913.67 6913.6784 14464.1 0 "" "" "" "23.63042494   -   25.42374234" "3s2.3p4.(3P).4d    | 2P    | 3/2" "3s2.3p4.(3P<2>).5f | 2[2]* | 3/2" "" "" L14821
6987.635 6987.6326 14310.994 1 "" "" "" "23.570177223  -   25.34451490" "3s2.3p4.(3P).5p    | 4D*   | 3/2" "3s2.3p4.(3P).5d    | 2D    | 3/2" "" "" L14821
6992.05 6992.04033 14301.958 5 200000.0 0.0022 C+ "17.77579262   -   19.549011775" "3s2.3p4.(3P).3d    | 4F    | 3/2" "3s2.3p4.(3P).4p    | 4D*   | 5/2" "" T926 L14821
7003.37 7003.3945 14278.84 0.5 "" "" "" "23.67388033   -   25.44422467" "3s2.3p4.(3P).5p    | 2S*   | 1/2" "3s2.3p4.(3P).5d    | 2P    | 3/2" "" "" L14821
7052.63 7052.6201 14179.1 0.5 "" "" "" "23.54889313   -   25.30688090" "3s2.3p4.(3P).4d    | 2P    | 1/2" "3s2.3p4.(1D).5p    | 2D*   | 3/2" "" "" L14821
7056.938 7056.9321 14170.451 3 "" "" "" "19.867157038  -   21.62407061" "3s2.3p4.(3P).4p    | 2P*   | 3/2" "3s2.3p4.(1D).3d    | 2P    | 3/2" "" "" L14821
7078.975 7078.97471 14126.338 5 100000.0 0.001 C+ "17.74309101   -   19.49453389" "3s2.3p4.(3P).3d    | 4F    | 5/2" "3s2.3p4.(3P).4p    | 4D*   | 7/2" "" T926 L14821
7092.515 7092.5233 14099.371 1 "" "" "" "19.680048951  -   21.42814610" "3s2.3p4.(3P).4p    | 2D*   | 5/2" "3s2.3p4.(1D).3d    | 2D    | 3/2" "" "" L14821
7103.148 7103.155 14078.265 1 "" "" "" "23.619908872  -   25.3653896" "3s2.3p4.(3P).5p    | 2P*   | 3/2" "3s2.3p4.(3P).5d    | 2D    | 5/2" "" "" L14821
7105.07 7105.1 14074.46 0.5 "" "" "" "23.620386781  -   25.3653896" "3s2.3p4.(3P).5p    | 2D*   | 5/2" "3s2.3p4.(3P).5d    | 2D    | 5/2" "" "" L14821
7123.7 7123.69989 14037.649 6 500000.0 0.0019 E "18.06063988   -   19.801086565" "3s2.3p4.(3P).3d    | 2P    | 3/2" "3s2.3p4.(3P).4p    | 2P*   | 1/2" "" T926 L11520
7184.078 7184.0833 13919.672 2 "" "" "" "23.89325004   -   25.61906799" "3s2.3p4.(3P).4d    | 2D    | 3/2" "3s2.3p4.(3P<0>).5f | 2[3]* | 5/2" "" "" L14821
7189.13 7189.1317 13909.89 0 "" "" "" "23.619908872  -   25.34451490" "3s2.3p4.(3P).5p    | 2P*   | 3/2" "3s2.3p4.(3P).5d    | 2D    | 3/2" "" "" L14821
7235.5275 7235.5293 13820.6924 23 3700000.0 0.058 C+ "18.25395203   -   19.96749907" "3s2.3p4.(3P).3d    | 4P    | 1/2" "3s2.3p4.(3P).4p    | 4S*   | 3/2" "" T926 L11520
7251.45 7251.4748 13790.35 0.5 "" "" "" "24.16242396   -   25.87220304" "3s2.3p4.(3P<2>).4f | 2[3]* | 7/2" "3s2.3p4.(3P).6d    | 4F    | 5/2" "" "" L14821
7282.46 7282.4592 13731.623 2 "" "" "" "19.972538226  -   21.67504277" "3s2.3p4.(3P).4p    | 2S*   | 1/2" "3s2.3p4.(1D).3d    | 2P    | 1/2" "" "" L14821
7286.239 7286.23967 13724.501 7 "" "" "" "18.06063988   -   19.762261075" "3s2.3p4.(3P).3d    | 2P    | 3/2" "3s2.3p4.(3P).4p    | 2D*   | 3/2" "" "" L11520
7300.16 7300.149 13698.33 0.5 "" "" "" "23.87401512   -   25.57239413" "3s2.3p4.(3P).4d    | 2D    | 5/2" "3s2.3p4.(3P<1>).5f | 2[3]* | 5/2" "" "" L14821
7350.0738 7350.0773 13605.306 16 "" "" "" "19.680048951  -   21.36689104" "3s2.3p4.(3P).4p    | 2D*   | 5/2" "3s2.3p4.(1D).3d    | 2D    | 5/2" "" "" L11520
7357.206 7357.2114 13592.116 2 "" "" "" "23.87401512   -   25.55922152" "3s2.3p4.(3P).4d    | 2D    | 5/2" "3s2.3p4.(3P<1>).5f | 2[4]* | 7/2" "" "" L14821
7360.365 7360.3713 13586.283 2 200000.0 0.00081 C "18.28805528   -   19.972538226" "3s2.3p4.(3P).3d    | 4P    | 3/2" "3s2.3p4.(3P).4p    | 2S*   | 1/2" "" T926 L14821
7382.4559 7382.456 13545.6278 44 5600000.0 0.046 C+ "18.28805528   -   19.96749907" "3s2.3p4.(3P).3d    | 4P    | 3/2" "3s2.3p4.(3P).4p    | 4S*   | 3/2" "" T926 L11520
7421.385 7421.3835 13474.575 1 "" "" "" "23.67388033   -   25.34451490" "3s2.3p4.(3P).5p    | 2S*   | 1/2" "3s2.3p4.(3P).5d    | 2D    | 3/2" "" "" L14821
7430.62 7430.62503 13457.827 2 "" "" "" "17.94175110   -   19.61030789" "3s2.3p4.(3P).3d    | 2P    | 1/2" "3s2.3p4.(3P).4p    | 4D*   | 3/2" "" "" L14821
7442.54 7442.5423 13436.273 4 "" "" "" "19.762261075  -   21.42814610" "3s2.3p4.(3P).4p    | 2D*   | 3/2" "3s2.3p4.(1D).3d    | 2D    | 3/2" "" "" L14821
7458.049 7458.0565 13408.332 2 "" "" "" "23.89325004   -   25.55566971" "3s2.3p4.(3P).4d    | 2D    | 3/2" "3s2.3p4.(3P<1>).5f | 2[2]* | 5/2" "" "" L14821
7507.22 7507.2218 13320.511 1 "" "" "" "19.972538226  -   21.62407061" "3s2.3p4.(3P).4p    | 2S*   | 1/2" "3s2.3p4.(1D).3d    | 2P    | 3/2" "" "" L14821
7591.4046 7591.4043 13172.7929 72 10700000.0 0.0616 B "18.33428084   -   19.96749907" "3s2.3p4.(3P).3d    | 4P    | 5/2" "3s2.3p4.(3P).4p    | 4S*   | 3/2" "" T926 L11520
7620.13 7620.139 13123.14 1 "" "" "" "19.801086565  -   21.42814610" "3s2.3p4.(3P).4p    | 2P*   | 1/2" "3s2.3p4.(1D).3d    | 2D    | 3/2" "" "" L14821
7656.138 7656.13833 13061.416 2 "" "" "" "18.06063988   -   19.680048951" "3s2.3p4.(3P).3d    | 2P    | 3/2" "3s2.3p4.(3P).4p    | 2D*   | 5/2" "" "" L14821
7683.062 7683.06119 13015.644 2 "" "" "" "23.404027598  -   25.017761960" "3s2.3p4.(3P).5p    | 4P*   | 5/2" "3s2.3p4.(3P).5d    | 4P    | 5/2" "" "" L14821
7683.6 7683.6195 13014.73 1 "" "" "" "24.19283498   -   25.80645208" "3s2.3p4.(3P<2>).4f | 2[5]* | 9/2" "3s2.3p4.(3P).6d    | 4F    | 7/2" "" "" L14821
7685.573 7685.5823 13011.392 1 "" "" "" "18.25395203   -   19.867157038" "3s2.3p4.(3P).3d    | 4P    | 1/2" "3s2.3p4.(3P).4p    | 2P*   | 3/2" "" "" L14821
